Andorra,42.5407167,1.5732033
Argentina,-34.9964962,-64.9672816
Austria,47.2000338,13.199959
Espirito Santo,-19.5687681,-40.172199
Rio Grande do Sul,-29.8517999,-53.7672249
Sao Paulo,-21.9549805,-49.0232347
British Columbia,55.0,-124.9999999
New Brunswick,46.5,-66.7499999
Quebec,54.0,-71.9999999
Cape Verde Islands,16.0000552,-24.0083946
Caribbean (including West Indies),15.0000001,-75.0
Chile,-31.7613364,-71.3187696
Colombia,2.893108,-73.7845142
Cuba,23.0131338,-80.8328747
Czech Republic,49.8167003,15.4749544
Denmark,55.670249,10.3333283
Egypt,26.2540493,29.2675469
Finland,63.2467777,25.9209164
France,46.603354,1.8883335
Germany,51.0834196,10.4234469
Greece,39.000041,21.9999569
Hawaii,21.2160437,-157.9752029
Hungary,47.1817585,19.5060937
Sardinia,40.0912813,9.0305773
Sicily,37.587794,14.155048
Macedonia,41.6171214,21.7168387
Mexico,19.4326009,-99.1333415
Montenegro,43.0285558,19.291739
Netherlands,52.2379891,5.53460738162
Norway,64.574131,11.5270102892
Qinghai (Chinghai),36.0,96.0
Sichuan (Szechwan),32.41875,102.6366383
Poland,52.0977181,19.0258159
Puerto Rico,18.2017809,-66.5841245
Romania,45.9852129,24.6859225
Arkhangel'sk Oblast,63.4736289,43.7199849
Kaluga (Kaluzhka) Oblast,54.5101087,36.2598115
Kostroma Oblast,58.424756,44.2533273
Moscow Oblast,55.5043158,38.0353929
Sakhalin Oblast,49.7219665,143.448533
St. Petersberg (Leningrad),59.9393657,30.3153628
Voronezh Oblast,50.9800393,40.1506507
Serbia,44.1534121,20.55144
Slovakia,48.7411522,19.4528646
Slovenia,45.8133113,14.4808369
Spain,40.0028028,-4.0031039
Sweden,59.6749712,14.5208584
Switzerland,46.7985624,8.2319736
Turkey,38.9597594,34.9249653
England,52.7954791,-0.540240236617
Scotland,56.7861112,-4.1140517
Wales,52.2928116,-3.7389299
Arizona,34.395342,-111.7632754
California,36.7014631,-118.7559973
Connecticut,41.6500201,-72.7342162
District of Columbia,38.8949549,-77.0366455
Florida,27.7567667,-81.4639834
Georgia,41.6809707,44.0287382
Indiana,40.3270127,-86.1746932
Louisiana,30.8703881,-92.0071259
Maryland,39.5162234,-76.9382068
Missouri,38.7604815,-92.5617874
New Jersey,40.0757384,-74.4041621
New York,40.7305991,-73.9865811
North Carolina,35.6729639,-79.0392918
Pennsylvania,40.9699889,-77.727883
Texas,31.8160381,-99.5120985
Virginia,37.1232245,-78.492772
Uruguay,-32.8755547,-56.0201524
Venezuela,8.0018709,-66.1109317
