Algeria,28.0000272,2.9999825
Andorra,42.5407167,1.5732033
Austria,47.2000338,13.199959
Bulgaria,42.6073975,25.4856617
Alberta,55.0,-114.9999998
British Columbia,55.0,-124.9999999
New Brunswick,46.5,-66.7499999
Nova Scotia,45.0000002,-62.9999998
Ontario,50.0000002,-86.0
Quebec,54.0,-71.9999999
Saskatchewan,54.0,-105.9999999
Croatia,45.5643442,17.0118954
Czech Republic,49.8167003,15.4749544
Denmark,55.670249,10.3333283
Finland,63.2467777,25.9209164
Corsica,42.1640662,9.0982074
Germany,51.0834196,10.4234469
Greece,39.000041,21.9999569
Hungary,47.1817585,19.5060937
Israel,30.8760272,35.0015196
Sardinia,40.0912813,9.0305773
Macedonia,41.6171214,21.7168387
Middle East,32.1862321,34.9771488
Moldova,47.286747,28.5110236
Morocco,31.1728192,-7.3366042
Netherlands,52.2379891,5.53460738162
New Zealand,-41.500083,172.8344077
North Africa,41.4299403,-8.0932407
Heilongjiang (HeilungKiang),48.0000047,127.999992
Poland,52.0977181,19.0258159
Romania,45.9852129,24.6859225
St. Petersberg (Leningrad),59.9393657,30.3153628
Serbia,44.1534121,20.55144
Slovakia,48.7411522,19.4528646
Slovenia,45.8133113,14.4808369
Spain,40.0028028,-4.0031039
Sweden,59.6749712,14.5208584
Tselinograd Obl.,51.15092055,71.4388595155
Turkey,38.9597594,34.9249653
Turkmenistan,39.3763807,59.3924609
Ukraine,49.4871968,31.2718321
England,52.7954791,-0.540240236617
California,36.7014631,-118.7559973
Colorado,38.7251776,-105.6077166
Connecticut,41.6500201,-72.7342162
Illinois,40.0796319,-89.4339808
Indiana,40.3270127,-86.1746932
Iowa,41.9216734,-93.3122704
Kansas,38.27312,-98.5821871
Maine,45.709097,-68.85902
Maryland,39.5162234,-76.9382068
Michigan,43.6211955,-84.6824345
Minnesota,45.9896587,-94.6113287
Missouri,38.7604815,-92.5617874
Nebraska,41.7370229,-99.5873815
New Hampshire,43.4849133,-71.6553991
New Jersey,40.0757384,-74.4041621
New York,40.7305991,-73.9865811
North Carolina,35.6729639,-79.0392918
North Dakota,47.6201461,-100.5407369
Ohio,40.2253569,-82.6881394
Oregon,43.9792797,-120.7372569
Pennsylvania,40.9699889,-77.727883
South Dakota,44.6471761,-100.3487609
Tennessee,35.7730076,-86.282008
Utah,39.4225192,-111.7143583
Vermont,44.5990718,-72.5002607
Virginia,37.1232245,-78.492772
Washington,38.8949549,-77.0366455
Wisconsin,44.4308975,-89.6884636
Wyoming,43.1700264,-107.5685347
Siberia,5.89168285,-75.9300731239
