Algeria,28.0000272,2.9999825
Austria,47.2000338,13.199959
Bosnia Hercegovina,44.3053476,17.5961467
Bulgaria,42.6073975,25.4856617
Ontario,50.0000002,-86.0
Croatia,45.5643442,17.0118954
Czech Republic,49.8167003,15.4749544
Corsica,42.1640662,9.0982074
Georgia,41.6809707,44.0287382
Germany,51.0834196,10.4234469
Iran,32.9407496,52.9471344
Sardinia,40.0912813,9.0305773
Japan,36.5748441,139.2394179
Kirgizia,41.5089324,74.724091
Korea,35.3985008,127.937111
Korea North,61.18541105,6.8135088335
Korea South,37.5540282,126.7893535
Macedonia,41.6171214,21.7168387
Moldova,47.286747,28.5110236
Morocco,31.1728192,-7.3366042
Nigeria,9.6000359,7.9999721
North Africa,41.4299403,-8.0932407
Beijing (Peking),39.9059631,116.391248
Hebei,39.0000001,116.0
Heilongjiang (HeilungKiang),48.0000047,127.999992
Jilin (Kirin),42.9995032,125.9816054
Liaoning,40.9975197,122.9955469
Nei Menggu (Inner Mongolia),43.2443242,114.3251664
Shanxi (Shansi),37.0,112.0
Sichuan (Szechwan),32.41875,102.6366383
Romania,45.9852129,24.6859225
Adygey AO (Adigei),44.6939006,40.1520421
Moscow Oblast,55.5043158,38.0353929
Primor'ye Kray,45.0819456,134.726645
Ul'yanovsk Oblast,54.1463177,47.2324921
Voronezh Oblast,50.9800393,40.1506507
Serbia,44.1534121,20.55144
Slovakia,48.7411522,19.4528646
Spain,40.0028028,-4.0031039
Taiwan,23.9739374,120.9820179
Tselinograd Obl.,51.15092055,71.4388595155
Tunisia,33.8439408,9.400138
Turkey,38.9597594,34.9249653
Ukraine,49.4871968,31.2718321
Connecticut,41.6500201,-72.7342162
District of Columbia,38.8949549,-77.0366455
Illinois,40.0796319,-89.4339808
Maine,45.709097,-68.85902
Maryland,39.5162234,-76.9382068
Massachusetts,42.3788774,-72.0323659
New Hampshire,43.4849133,-71.6553991
New Jersey,40.0757384,-74.4041621
New Mexico,34.5708167,-105.9930069
New York,40.7305991,-73.9865811
Pennsylvania,40.9699889,-77.727883
Rhode Island,41.7962409,-71.5992371
Vermont,44.5990718,-72.5002607
Virginia,37.1232245,-78.492772
West Virginia,38.4758406,-80.8408414
Uzbekistan,41.32373,63.9528098
