Argentina,Argentina,-34.9964962,-64.9672816
Australia,Australia,-24.7761085,134.755
Queensland,Australia,-21.9182855,144.4588889
Austria,Austria,47.2000338,13.199959
Azerbaijan,Azerbaijan,40.3936294,47.7872508
Belgium,Belgium,50.6407351,4.66696
Brazil,Brazil,-10.3333332,-53.1999999
Canary Islands,Spain,28.5306525,-15.7464438
Channel Islands (British Is),Canada,48.8005051,-123.3831618
Chile,Chile,-31.7613364,-71.3187696
Juan Fernandez Is.,Chile,-33.663742,-78.8468238
Croatia,Croatia,45.5643442,17.0118954
Cuba,Cuba,23.0131338,-80.8328747
Czech Republic,Czech Republic,49.8167003,15.4749544
Denmark,Denmark,55.670249,10.3333283
Egypt,Egypt,26.2540493,29.2675469
France,France,46.603354,1.8883335
Georgia,Georgia,41.6809707,44.0287382
Germany,Germany,51.0834196,10.4234469
Hungary,Hungary,47.1817585,19.5060937
India,India,22.3511148,78.6677428
Andhra Pradesh,India,15.9240905,80.1863809
Assam,India,26.4073841,93.2551303
Himachal Pradesh,India,31.9292352,77.1828462
Jammu & Kashmir,India,34.0476564,76.7972892
Karnataka,India,14.5203896,75.7223521
Kerala,India,10.3529588,76.5119752
Meghalaya,India,25.5379432,91.2999102
Punjab,India,30.9293211,75.5004841
Rajasthan,India,26.8105777,73.7684549
Tamil Nadu,India,10.9094334,78.3665347
West Bengal,India,22.9964948,87.6855882
Iraq,Iraq,33.0955793,44.1749775
Italy,Italy,42.6384261,12.674297
Japan,Japan,36.5748441,139.2394179
Kazakhstan,Kazakhstan,47.2286086,65.2093197
Netherlands,The Netherlands,52.2379891,5.53460738161551
Pakistan,Pakistan,30.3308401,71.247499
Peoples' Republic of China,China,35.000074,104.999927
Fujian (Fukien),China,26.5450001,117.842778
Poland,Poland,52.0977181,19.0258159
Portugal,Portugal,40.033265,-7.8896262
Russia,Russian Federation,64.6863136,97.7453061
Kemerovo Oblast,Russian Federation,54.5335781,87.342861
Moscow Oblast,Russian Federation,55.5043158,38.0353929
St. Petersberg (Leningrad),Russian Federation,59.9393657,30.3153628
Serbia,Serbia,44.1534121,20.55144
Slovakia,Slovakia,48.7411522,19.4528646
South Africa,RSA,-28.8166235,24.991639
Spain,Spain,40.0028028,-4.0031039
Sweden,Sweden,59.6749712,14.5208584
Switzerland,Switzerland,46.7985624,8.2319736
Tselinograd Obl.,Kazakhstan,51.15092055,71.4388595154859
United Kingdom,United Kingdom,54.7023545,-3.2765752
England,United Kingdom,52.7954791,-0.540240236617432
Wales,United Kingdom,52.2928116,-3.7389299
Zimbabwe,Zimbabwe,-18.4554962,29.7468414
Chad,Chad,15.6134137,19.0156172
Paraguay,Paraguay,-23.3165934,-58.1693444
Guangxi (Kwangsi),China,24.0,109.0
Xinjiang Uygur (Sinkiang),China,41.5,85.5
Karachai-Cherkess AR,Russian Federation,44.2250248,42.056765
United States of America,United States of America,39.7837304,-100.4458824
California,United States of America,36.7014631,-118.7559973
Colorado,United States of America,38.7251776,-105.6077166
Montana,United States of America,47.3752671,-109.6387578
Oklahoma,United States of America,34.9550817,-97.2684062
Washington,United States of America,38.8949549,-77.0366455
Wyoming,United States of America,43.1700264,-107.5685347
Primor'ye Kray,Russian Federation,45.0819456,134.726645
Ukraine,Ukraine,49.4871968,31.2718321
Uttar Pradesh,India,27.1303344,80.859666
Angola,Angola,-11.8775767,17.5691241
Mato Groso,Brazil,-12.2115008,-55.5716546
Colombia,Colombia,2.893108,-73.7845142
Finland,Finland,63.2467777,25.9209164
Greece,Greece,39.000041,21.9999569
Uttarakhand,India,30.0417376,79.089691
Iran,Iran,32.9407496,52.9471344
Israel,Israel,30.8760272,35.0015196
Sicily,Italy,37.587794,14.155048
Mexico,Mexico,19.4326009,-99.1333415
Morocco,Morocco,31.1728192,-7.3366042
Nepal,Nepal,28.1082107,84.0917515
Ningxia (Ningsia),China,37.0000001,105.9999999
Turkey,Turkey,38.9597594,34.9249653
Texas,United States of America,31.8160381,-99.5120985
Illinois,United States of America,40.0796319,-89.4339808
Virginia,United States of America,37.1232245,-78.492772
Bangladesh,Bangladesh,24.4768783,90.2932426
Bihar,India,25.6440845,85.906508
"Goa, Daman & Diu",India,15.3004543,74.0855134
Sri Lanka,Sri Lanka,7.878,80.7038245875
Minas Gerais,Brazil,-18.5264843,-44.1588653
Lithuania,Lithuania,55.3500003,23.7499998
Madeira,Portugal (territorial waters),32.75175465,-16.9817465612925
Montenegro,Montenegro,43.0285558,19.291739
Hong Kong,China,22.2793278,114.1628131
Novosibirsk Oblast,Russian Federation,54.9720169,79.4813924
"Korea, South",South Korea,37.5540282,126.7893535
Heilongjiang (HeilungKiang),China,48.0000047,127.999992
Macedonia,Macedonia,41.6171214,21.7168387
Nagaland,India,26.1630556,94.5884911
Norway,Norway,64.574131,11.5270102892405
Moldova,Moldova,47.286747,28.5110236
Romania,Romania,45.9852129,24.6859225
Florida,United States of America,27.7567667,-81.4639834
Tasmania,Australia,-42.0350669,146.6366887
Scotland,United Kingdom,56.7861112,-4.1140517
Liaoning,China,40.9975197,122.9955469
Pernambuco,Brazil,-8.4127482,-38.3087922
Sao Paulo,Brazil,-21.9549805,-49.0232347
Guadeloupe,France,16.2490067,-61.5650443
Hawaii,United States of America,21.2160437,-157.9752029
Andaman and Nicobar Islands,NA,10.2188344,92.5771329
New Zealand,New Zealand,-41.500083,172.8344077
Réunion,France,-21.1309331,55.5265771
Tonga,Tonga,-19.9160818,-175.2026423
Australian Capital Territory,Australia,-35.4021015,148.9464218
Belarus,Belarus,53.4250605,27.6971358
Zhejiang (Chekiang),China,29.0000001,119.9999999
Thailand,Thailand,14.8971921,100.83273
Canada,Canada,61.0666922,-107.991707
Ontario,Canada,50.0000002,-86.0
Quebec,Canada,54.0,-71.9999999
New York,United States of America,40.7305991,-73.9865811
Oregon,United States of America,43.9792797,-120.7372569
Wisconsin,United States of America,44.4308975,-89.6884636
Idaho,United States of America,43.6447642,-114.015407
Myanmar (Burma),Myanmar,17.1750495,95.9999652
Taiwan,Taiwan,23.9739374,120.9820179
New South Wales,Australia,-31.8759834,147.2869493
